;All industry total;Private industries;Agriculture, forestry, fishing, and hunting;Mining, quarrying, and oil and gas extraction;Utilities;Construction;Manufacturing;Durable goods manufacturing;Nondurable goods manufacturing;Wholesale trade;Retail trade;Transportation and warehousing;Information;Finance and insurance;Real estate and rental and leasing;Professional, scientific, and technical services;Management of companies and enterprises;Administrative and support and waste management and remediation services;Educational services;Health care and social assistance;Arts, entertainment, and recreation;Accommodation and food services;Other services (except government and government enterprises);Government and government enterprises
2010:Q3;15079917,00;12966134,70;149545,20;300182,30;281776,70;527665,60;1814121,60;988288,70;825832,90;905900,20;853948,10;441779,80;766910,20;984632,30;1942535,20;1075954,60;266820,90;442038,10;200500,80;1120609,40;153054,30;407384,70;330774,90;2113781,20
2010:Q4;15240843,00;13120397,70;158254,00;319267,20;284195,90;525706,20;1836632,20;1002476,50;834155,70;905522,40;857986,90;446734,00;767906,30;1002085,90;1971361,50;1092488,80;275430,60;447834,90;201894,70;1128464,70;156307,50;410771,40;331552,70;2120443,20
2011:Q1;15285828,00;13156505,50;183468,20;334346,50;274996,50;510922,60;1835731,40;1002731,00;833000,40;911696,90;861842,40;446247,30;758083,20;1013810,00;1962849,80;1101321,00;278132,90;448450,00;204030,00;1131319,40;155514,40;413923,90;329819,10;2129322,60
2011:Q2;15496189,00;13355664,20;175382,50;361558,00;288973,50;522181,00;1864321,00;1003783,00;860538,00;932583,70;866308,60;450919,40;765458,70;1003146,80;2009609,90;1122638,00;278510,90;452529,10;205543,20;1145186,70;158168,10;420615,30;332029,80;2140525,70
2011:Q3;15591850,00;13449405,10;183132,70;357734,00;289455,70;529147,60;1869377,20;1011145,60;858231,70;933751,70;873161,30;449371,30;755751,00;1034497,30;2028577,20;1131962,20;276483,60;456511,90;206818,90;1154427,60;161030,20;424376,30;333837,40;2142447,00
2011:Q4;15796460,00;13660513,80;181795,80;371623,50;296411,40;535474,70;1900830,80;1043101,10;857729,70;961594,40;886412,90;459230,10;759978,80;1052712,40;2076113,50;1142311,20;278724,00;459060,20;207800,00;1163725,90;158533,70;431505,40;336674,90;2135947,10
2012:Q1;16019758,00;13871069,40;182628,70;369658,60;272408,40;548348,00;1915123,00;1050765,90;864357,10;979886,10;901457,40;465518,70;755363,00;1126078,70;2069444,90;1169810,00;291915,90;471394,60;212497,20;1184215,30;167628,40;444356,10;343336,50;2148688,70
2012:Q2;16152257,00;14001217,30;178607,40;353799,10;281713,90;551735,90;1930034,40;1065591,30;864443,10;991929,70;904033,10;474512,50;768223,30;1153802,90;2092529,60;1189118,80;293534,10;471718,50;214337,60;1186824,70;170061,70;447755,90;346944,20;2151040,60
2012:Q3;16257151,00;14096121,40;175759,50;349587,30;283195,90;552030,20;1937763,60;1063696,50;874067,00;1003089,90;910602,60;474226,20;760118,70;1184535,70;2115482,60;1191371,60;302787,70;474931,10;214523,40;1194116,00;171962,90;450398,80;349637,80;2161028,50
2012:Q4;16358863,00;14181664,70;181294,00;362145,80;281285,20;561561,00;1925301,90;1066790,90;858510,90;1014509,40;917559,20;473605,20;752103,40;1186797,90;2115177,80;1203825,70;320546,60;477680,20;214172,80;1208773,40;175280,20;457997,70;352047,50;2177200,20
2013:Q1;16569591,00;14375167,80;218326,20;369914,70;287415,60;571507,00;1977860,40;1090003,40;887857,00;1027932,00;943076,10;483360,40;812091,30;1109318,40;2146686,50;1201753,10;313929,60;479882,80;214714,90;1222250,90;174542,10;467525,90;353079,90;2194425,10
2013:Q2;16637926,00;14430451,20;224669,10;383044,80;286438,70;578987,20;1964310,40;1091029,70;873280,80;1025896,20;942697,10;484291,90;820833,40;1126688,40;2150766,60;1197453,80;319611,80;484630,70;215910,80;1224894,00;175154,00;470313,00;353859,40;2207473,70
2013:Q3;16848748,00;14633690,10;222234,70;401289,20;283180,70;594272,60;1989469,70;1107186,30;882283,40;1044966,80;953820,80;491639,80;830183,40;1143889,30;2196122,70;1208613,80;321070,40;492887,70;217772,70;1231735,00;177740,80;476418,20;356382,10;2215056,80
2013:Q4;17083137,00;14850060,10;197171,70;391826,20;288326,50;605444,10;2035978,80;1119634,40;916344,40;1061475,30;958209,30;505104,40;852604,10;1199844,00;2217842,20;1226276,80;324189,90;498855,70;221448,60;1240040,60;182160,90;481454,70;361806,40;2233077,00
2014:Q1;17102932,00;14855616,50;194549,70;409761,40;300612,60;616532,10;1990064,80;1098029,50;892035,30;1049700,60;951047,70;497233,00;835154,80;1235790,40;2215154,30;1229726,60;331638,20;503413,80;223216,10;1239285,50;185046,70;483161,70;364526,50;2247315,40
2014:Q2;17425766,00;15164736,80;211002,90;432219,30;295591,50;629795,90;2033911,20;1118276,40;915634,80;1074916,10;968922,30;516474,10;836713,70;1284644,90;2254390,90;1247631,90;326696,00;514073,30;225416,60;1254926,80;188069,90;496114,10;373225,30;2261029,30
2014:Q3;17719836,00;15440643,10;197190,00;428020,30;298142,90;643381,50;2083535,50;1151922,20;931613,30;1108433,10;981226,60;532337,50;840989,80;1295464,00;2296602,60;1290576,80;333409,20;523059,60;227419,50;1279088,20;191261,80;508482,30;382021,80;2279193,00
2014:Q4;17838454,00;15539123,40;200622,70;382019,70;298269,80;656059,10;2081890,90;1154654,60;927236,40;1119615,40;993840,50;541667,20;849709,80;1311993,30;2317717,80;1299933,20;341050,20;530551,80;228709,10;1292144,40;190688,00;517381,50;385259,10;2299330,70
2015:Q1;17970422,00;15652064,10;177909,30;284061,00;299747,40;672572,40;2109049,60;1174956,50;934093,10;1131533,90;1003514,30;554450,30;875065,70;1349542,90;2348653,20;1320310,00;344260,70;533882,90;230838,30;1306728,80;190590,40;531197,00;388156,00;2318358,80
2015:Q2;18221299,00;15885634,10;179694,30;275010,50;297495,00;690290,70;2130747,80;1183002,30;947745,50;1149873,80;1015026,30;561271,70;902935,40;1399186,70;2376329,50;1337584,80;345411,80;541044,80;233415,40;1322641,50;192493,20;541694,20;393486,70;2335665,80
2015:Q3;18331093,00;15981558,90;187082,50;248053,30;302447,20;702820,00;2146980,40;1189775,80;957204,50;1143638,40;1031538,60;568548,10;928363,10;1352435,00;2409256,20;1353579,10;345928,80;549784,00;235811,00;1338748,00;193314,40;549798,30;393432,40;2349532,20
2015:Q4;18354372,00;15995969,80;180195,60;224284,50;296456,10;714053,10;2105313,30;1183097,80;922215,50;1141788,80;1035460,90;569232,20;953758,90;1349729,80;2433350,40;1358049,30;346718,90;556498,40;237745,70;1348047,00;194647,70;555625,80;395013,30;2358401,30
2016:Q1;18409130,00;16043625,40;168728,30;195130,80;295981,30;731320,00;2075357,80;1177308,00;898049,80;1132839,10;1042386,90;569350,90;974850,30;1356067,20;2461510,70;1365675,50;345813,90;558841,70;241128,90;1372803,60;198596,60;559540,70;397701,10;2365504,70
2016:Q2;18640732,00;16262570,20;169835,70;211260,50;300129,30;740568,80;2088528,70;1179970,50;908558,20;1133618,50;1049146,80;577477,20;992405,50;1415644,20;2496567,10;1375737,10;345915,40;565774,30;243366,80;1390546,00;201116,80;564605,80;400325,70;2378163,90
2016:Q3;18799648,00;16403844,80;164020,20;221662,70;308397,60;748478,70;2088563,90;1183550,10;905013,80;1137576,80;1053910,40;576450,20;1009805,50;1465874,30;2506768,00;1381921,50;348279,80;571555,70;244124,90;1397228,80;206412,80;569822,00;402991,00;2395804,30
2016:Q4;18979245,00;16567399,60;157071,10;236819,70;306352,80;761664,80;2088208,20;1187255,80;900952,40;1142269,60;1062425,70;586503,10;1015144,30;1493171,70;2523775,20;1400913,50;353537,20;582031,90;247604,10;1420659,20;208470,70;574645,80;406130,80;2411846,40
2017:Q1;19162550,00;16729002,30;172943,50;255125,20;300452,30;770923,70;2124246,70;1200543,50;923703,20;1151782,00;1071453,20;594428,70;1018421,70;1466602,10;2549665,30;1421167,80;359471,50;595939,40;242994,50;1435408,90;208392,30;580853,80;408729,70;2433547,70
2017:Q2;19359123,00;16911169,00;172159,50;261253,00;309905,50;773582,70;2154819,40;1215742,00;939077,30;1167965,40;1081177,50;605345,10;1042141,60;1444062,10;2579899,60;1442280,80;363937,80;602986,10;244109,30;1450630,70;212406,80;588921,20;413584,90;2447954,00
2017:Q3;19588074,00;17125996,70;165916,20;265633,30;306584,10;784043,00;2194420,70;1235266,20;959154,40;1180421,20;1092699,10;613656,50;1062466,30;1472380,10;2603367,90;1461147,90;372563,50;611509,30;246648,90;1460530,20;218679,10;593978,00;419351,40;2462077,20
2017:Q4;19831829,00;17360590,10;165879,50;292464,30;313044,00;797102,30;2245044,90;1255038,60;990006,30;1196326,00;1103097,60;621507,80;1080037,80;1480590,60;2631953,50;1475376,20;381546,30;617461,80;248472,60;1472303,50;217112,80;598601,90;422666,70;2471238,90
2018:Q1;20041047,00;17561595,70;166629,10;301764,30;315253,10;816132,50;2271892,60;1268377,80;1003514,70;1196382,80;1113945,10;633550,10;1085856,10;1489112,00;2668014,10;1503784,90;382332,00;623166,90;251435,80;1495094,60;216572,40;604391,30;426286,00;2479450,40
2018:Q2;20411924;17918611,8;170398,2;321471,2;319846,5;835655,3;2329010,6;1293773,8;1035236,8;1220577,1;1131585,1;643636,8;1121235,9;1508203,6;2708030;1546555;385173,6;635512,5;252411,8;1519783,2;222821,1;613116;433588,3;2493311,5
2018:Q3;20658204;18142623,5;157591,2;333938,1;317422;848467,7;2353039,8;1311271,2;1041768,7;1243095,6;1141877,9;650594,5;1141548,2;1539648,1;2745935,1;1561378,5;387903,7;646131,2;256201,6;1534891,5;226630,4;619807,1;436521,4;2515581
