MSRP;sedan;hatch;convert;minivan;miniSUV;SUV;wagon;subcom;compact;fullsize;luxury;sport;city;high;length;width;height;weight;luggage;horse;Cyl;Disp;fuel;AWD;FWD;4WD
26545;1;0;0;0;0;0;0;0;0;1;0;0;20;29;202,6;74,2;56,6;3633;18,5;205;6;3,8;18;0;1;0
26300;1;0;0;0;0;0;0;0;0;1;0;0;21;29;191,9;71,7;57,7;3417;15,9;210;6;3;18,5;0;1;0
43650;1;0;0;0;0;0;0;0;0;0;1;0;18;24;196,6;71,6;56,5;3920;14;225;6;3,5;18;0;1;0
31730;1;0;0;0;0;0;0;0;0;0;1;0;19;29;192,5;70,3;53,7;3538;14,3;260;6;3,2;17,2;0;1;0
27295;1;0;0;0;0;0;0;0;0;0;1;0;21;29;179;69,5;56,2;3406;13,4;170;4;1,8;17,4;1;0;0
40295;1;0;0;0;0;0;0;0;0;0;1;0;17;24;192;76,1;57,2;3759;15,4;250;6;2,7;18,5;1;0;0
62845;1;0;0;0;0;0;0;0;0;0;1;0;17;25;198,2;79;56,6;4068;17,6;310;8;4,2;23,7;1;0;0
39545;1;0;0;0;0;0;0;0;0;0;1;0;17;23;176,7;68,2;54,9;3593;13,7;250;6;2,7;16,4;1;0;0
74845;1;0;0;0;0;0;0;0;0;0;1;0;15;21;198,2;79;55,8;4068;17,6;360;8;4,2;23,8;1;0;0
27745;1;0;0;0;0;0;0;0;0;0;1;0;19;27;176;68,5;55,7;3219;10,7;184;6;2,5;16,6;0;0;0
36595;1;0;0;0;0;0;0;0;0;0;1;0;19;27;188;70,9;56,5;3450;11,1;186;6;2,5;18,5;0;0;0
72495;1;0;0;0;0;0;0;0;0;0;1;0;18;26;203,5;74,9;58,4;4464;18;325;8;4,4;23,3;0;0;0
70545;1;0;0;0;0;0;0;0;0;0;1;0;13;21;188,3;70,9;56,6;4023;11,1;394;8;4,9;18,5;0;0;0
48650;1;0;0;0;0;0;0;0;0;0;1;0;18;27;207,2;74,5;56,7;4049;19,1;275;8;4,6;18,5;0;1;0
45169;1;0;0;0;0;0;0;0;0;0;1;0;18;27;201;75;55,7;3969;15,7;275;8;4,6;18,5;0;1;0
21940;1;0;0;0;0;0;0;0;0;0;1;0;24;31;177,5;66,7;55,1;2923;13,5;145;4;2;15,9;0;1;0
29295;1;0;0;0;0;0;0;0;0;0;1;0;20;26;193,7;70,2;57;3342;14,9;255;6;3,5;18,5;0;1;0
51045;1;0;0;0;0;0;0;0;0;0;1;0;17;25;199,6;72,6;58,9;3801;13,7;340;8;4,5;21,4;0;0;0
44320;1;0;0;0;0;0;0;0;0;0;1;0;18;25;191,3;80,3;55,7;3816;11,7;237;6;3;18,4;0;0;0
30595;1;0;0;0;0;0;0;0;0;0;1;0;19;28;183,9;70,4;54,8;3428;16;191;6;2,5;16;1;0;0
79975;1;0;0;0;0;0;0;0;0;0;1;0;16;22;202,7;70,8;53,2;4129;12,7;365;8;4;23,1;0;0;0
32080;1;0;0;0;0;0;0;0;0;0;1;0;21;29;191,1;71,3;57,3;3439;14,5;210;6;3;18,5;0;1;0
37100;1;0;0;0;0;0;0;0;0;0;1;0;18;25;189,2;70,9;55,9;3649;14,8;220;6;3;19,8;0;0;0
